pleasue enter the dates in mm/dd format,fall start,fall end,spring start,spring end,,
Colorado School Of Mines,19/08/2014,12/12/2014,07/01/2015,08/05/2015,,
Colorado State University - Pueblo,25/08/2014,"Dec 8-12, 2014",12/01/2015,02/05/2015,,
Colorado State University-Ft Collins,,,,,,
Colorado Tech University-Co Springs,04/10/2015,22/12/2015,05/04/2015,23/06/2015,,
Columbia Basin College,21/09/2015,10/12/2015,04/04/2016,17/06/2016,,
Columbia College,25/08/2014,13/12/2014,12/01/2015,02/05/2015,,
Columbia College,25/08/2014,13/12/2014,12/01/2015,02/05/2015,,
Columbia College,25/08/2014,13/12/2014,12/01/2015,02/05/2015,,
Columbia College,25/08/2014,13/12/2014,12/01/2015,02/05/2015,,
Columbia State Community College,25/08/2014,05/12/2014,20/01/2015,01/05/2015,,
Columbia University,02/09/2014,08/12/2014,20/01/2015,04/05/2015,,
Columbus State Community College,,,12/01/2015,09/05/2015,,
Columbus State University,18/08/2014,08/12/2014,12/01/2015,04/05/2015,,
Columbus Technical College,,,,,,
Community College Of Allegheny-Alleghen,31/08/2015,07/12/2015,12/01/2015,"May 4-5, 2015",,
Community College Of Aurora,24/08/2015,12/12/2015,19/01/2016,09/05/2016,,
Community College Of Baltimore County,27/08/2014,09/12/2014,02/02/2015,16/05/2015,,
Community College Of Denver-Auraria,17/08/2015,07/12/2015,19/01/2016,09/05/2016,,
Community College Of Philadelphia,08/09/2015,19/12/2015,12/01/2015,30/04/2015,,
Community College Of Rhode Island-Knigh,02/09/2014,22/12/2014,20/01/2015,"May 5-8, 2015",,
Concordia College,,,,,,
Concordia College-Moorhead,,,,,,
Concordia University,08/09/2015,22/12/2015,,,,
Concordia University System,,,,,,
Connecticut College,28/08/2014,10/12/2014,20/01/2015,07/05/2015,,
Contra Costa College,15/08/2015,18/12/2015,22/01/2016,27/05/2016,,
Converse College,24/08/2015,03/12/2015,03/02/2016,05/05/2016,,
Coppin State University,24/08/2015,17/12/2015,26/01/2015,15/05/2015,,
Cornell University,26/08/2014,05/12/2014,21/01/2015,06/05/2015,,
Cornerstone University,09/09/2015,11/12/2015,25/01/2016,29/04/2016,,
Corning Community College,24/08/2015,12/12/2015,19/01/2016,07/05/2016,,
Cossatot Community College-The University Ar,,,,,,
Cosumnes River College,22/08/2015,17/12/2015,16/01/2016,18/05/2016,,
Cowley College,18/08/2015,"Dec 14-18, 2015",14/01/2016,"May 10-16, 2016",,
Crafton Hills College,18/08/2015,18/12/2015,12/01/2015,21/05/2015,,
Creighton University,25/08/2014,05/12/2014,15/01/2015,24/04/2015,,
Cuesta College-Sn Luis Obispo,17/08/2015,18/12/2015,20/01/2015,22/05/2015,,
Cumberland University,27/08/2014,04/12/2014,12/01/2015,30/04/2015,,
Curry College,02/09/2014,15/12/2014,20/01/2015,05/05/2015,,
Cuyahoga Community College - Metro,24/08/2015,15/12/2015,19/01/2016,15/05/2016,,
Cuyamaca College,18/08/2014,15/12/2014,26/01/2015,01/06/2015,,
Cypress College,25/08/2014,13/12/2014,26/01/2015,23/05/2015,,
D'Youville College,,,,,,
Dakota Wesleyan University,24/08/2015,"Dec 14-16, 2015",11/01/2016,"May 4-6, 2016",,
Dallas Christian College,04/08/2014,08/12/2014,12/01/2015,08/05/2015,,
Dallas Co Cmty Clg Dist Sys,25/08/2014,11/12/2014,20/01/2015,14/05/2015,,
Dana College,23/08/2010,06/12/2010,27/01/2011,13/05/2011,,
Daniel Webster College,02/09/2014,12/12/2014,13/01/2015,28/04/2015,,
Davis College,24/08/2015,06/11/2015,22/02/2016,06/05/2016,,
Davis College,24/08/2015,06/11/2015,22/02/2016,06/05/2016,,
Delaware State University,25/08/2014,"Dec 8-12, 2014",12/01/2015,29/05/2015,,
Delaware Technical And Community College-Owens,,,,,,
Delaware Technical And Community College-Stanton-Wilmington,,,,,,
Devry University-Arizona,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-California,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Columbus,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Georgia,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Henderson Ctr,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Irving,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Maryland,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Miramar,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Missouri,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-N Brunswick,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-North Carolina,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Portland,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Seattle,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-St Louis Park,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Devry University-Wisconsin,31/08/2015,20/12/2015,04/01/2016,24/04/2016,,
Dillard University,24/08/2015,04/12/2015,11/01/2016,18/04/2016,,
Dine College-Tsaile,18/08/2014,05/12/2014,12/01/2015,01/05/2016,,
Doane College-Crete,24/08/2015,"Dec 7-11, 2015",19/01/2016,"May 2-5, 2016",,
Dodge City Community College,,,,,,
Dominican School Of Philosophy And Theology,02/09/2014,07/11/2014,02/02/2015,12/06/2015,,
Dominican University Of Ca-San Rafae,25/08/2014,05/12/2014,20/01/2015,05/05/2015,,
Donnelly College,17/08/2015,09/12/2015,19/01/2016,11/05/2016,,
Dunwoody College Of Technology,17/08/2015,18/12/2015,06/01/2016,13/05/2016,,
Dyersburg State Community College,25/08/2014,08/12/2014,20/01/2015,04/05/2015,,
Daemen College,02/09/2014,12/12/2014,21/01/2015,08/05/2015,,
Dakota County Technical College,26/08/2013,20/12/2013,13/01/2014,20/05/2014,,
Dakota State University,25/08/2014,17/12/2014,12/01/2015,08/05/2015,,
Dallas Baptist University,25/08/2014,18/12/2014,20/01/2015,15/05/2015,,
Dalton State College,17/08/2015,"Dec 8-14, 2015",06/01/2016,"April 28 - May 4, 2016",,
Danville Area Community College,24/08/2015,"Dec 14-18, 2015",19/01/2016,"May 12-18, 2016",,
Dartmouth College,15/09/2014,26/11/2014,30/03/2015,14/06/2015,,
Darton College,,,,,,
Davenport University-Lettinga,31/08/2015,19/12/2015,,,,
Davidson College,24/08/2015,09/12/2015,26/02/2016,04/05/2016,,
De Anza College,22/09/2014,12/12/2014,06/04/2015,26/06/2015,,
Dean College,02/09/2014,11/12/2014,20/01/2015,"May 4-7, 2015",,
Defiance College,24/08/2015,"Dec 7-11, 2015",11/01/2016,"April 28 - May4, 2016",,
Dekalb Tech College-Clarkston,,,,,,
Del Mar College,25/08/2014,10/12/2014,20/01/2015,14/05/2015,,
Delaware County Community College,,,,,,
Delaware Tech & Community College-Terry,,,,,,
Delaware Valley College,26/08/2014,"Dec 9-14, 2014",20/01/2015,"May 7-14, 2015",,
Delgado Community College,11/08/2014,11/12/2014,12/01/2015,14/05/2015,,
Delta College,23/08/2014,14/12/2014,11/05/2015,20/08/2015,,
Delta State University,17/08/2015,"Dec 7-11, 2015",11/01/2016,"May 2-6, 2016",,
Denison University,27/08/2015,"Dec 17-18, 2015",18/01/2016,"May 9-10, 2016",,
Denmark Technical College,18/08/2014,"Dec 8-11, 2014",07/01/2015,"April 27-30, 2015",,
Depaul University - Lincoln Park,,,,,,
Depaul University-Chicago Loop,,,,,,
Depauw University,27/08/2014,12/12/2014,26/01/2015,07/08/2015,,
Des Moines Area Community College,20/08/2015,10/12/2015,,,,
Desales University,26/08/2015,19/12/2015,13/01/2015,09/05/2015,,
Diablo Valley College,12/01/2015,20/05/2015,,,,
Dickinson College,31/08/2015,11/12/2015,25/01/2016,06/05/2016,,
Dickinson State University,24/08/2015,18/12/2015,11/01/2016,14/05/2016,,
Digipen Institute Of Technology,31/08/2015,11/12/2015,04/01/2016,22/04/2016,,
Dixie State College Of Utah,,,,,,
Dominican College,21/08/2015,"Dec 14-18, 2015",04/01/2016,"May 9-13, 2016",,
Dominican University,,,,,,
Dordt College,26/08/2014,"Dec 15-18, 2014",13/01/2015,08/05/2015,,
Dowling College,02/09/2014,20/12/2014,26/01/2015,12/05/2015,,
Drake University,24/08/2015,03/12/2015,19/01/2016,28/04/2016,,
Drexel University,,,,,,
Drury University,"Sept 7-10, 2015","Nov 30-Dec 2, 2015","Feb 15-18, 2016","May 9-11, 2016",,
Duke University,24/08/2015,13/12/2015,13/01/2016,07/05/2016,,
Duquesne University,24/08/2015,22/12/2015,11/01/2016,05/06/2016,,
Dutchess Community College,25/08/2014,"Dec 15-17, 2014",20/01/2015,"May 7-18, 2015",,
East Central Community College,18/08/2014,"Dec 8-11, 2014",07/01/2015,08/05/2015,,
East Central Technical College,,,,,,
East Mississippi Community College,18/08/2014,"Dec 10-12, 2014",07/01/2015,"May 5-7, 2015",,
Eastern Idaho Technical College,,,,,,
Eastern Maine Community College,31/08/2015,18/12/2015,19/01/2016,13/05/2016,,
Eastern Mennonite University,01/09/2015,18/12/2015,11/01/2016,29/04/2016,,
Eastern Nazarene College,03/09/2014,"Dec 12-17, 2014",14/01/2015,"May 4-8, 2015",,
Eastern New Mexico University-Roswell Campus,,,,,,
Eastern New Mexico University-Ruidoso,,,,,,
Eastern West Virginia Community And Technical College,17/08/2015,"Dec 7-11, 2015",19/01/2016,"May 9-13, 2016",,
Eastern Wyoming College,25/08/2014,12/12/2014,12/01/2015,08/05/2015,,
Ecpi Technical Clg-Richmond,,,,,,
Edgecombe Community College,21/08/2014,18/12/2014,08/01/2015,06/05/2015,,
Edward Waters College,18/08/2014,"Dec 8-12, 2014",08/01/2015,08/05/2015,,
El Paso Cmty Clg-Miss Del Paso,,,,,,
Eldon Career Center,,,,,,
Ellsworth Community College,,,,,,
Embry Riddle Aeronautical University-Prescott,24/08/2015,"Dec 5, 7-10, 2015",13/01/2016,"April 30, May 2-5, 2016",,
Emily Griffith Opportunity School,,,,,,
Emmanuel College,02/09/2015,"Dec 10-14, 2015",20/01/2016,"May 5-9, 2016",,
Erskine College And Seminary,,,,,,
Eti Technical College,,,,,,
Eugene Bible College,,,,,,
Everest College-Alhambra,,,,,,
Everest College-Arlington,,,,,,
Everest College-Aurora,,,,,,
Everest College-City Of Industry,,,,,,
Everest College-Gardena,,,,,,
Everest College-Hayward,,,,,,
Everest College-Merrillville,,,,,,
Everest College-Phoenix,,,,,,
Everest College-Renton,,,,,,
Everest College-Salt Lake,,,,,,
Everest College-San Jose,,,,,,
Everest College-Springfield,,,,,,
Everest College-Vancouver,,,,,,
Everest College-West Los Angeles,,,,,,
Everest Institute-Atlanta Downtown,,,,,,
Everest Institute-Chesapeake,,,,,,
Everest Institute-Grand Rapids,,,,,,
Everest Institute-San Antonio,,,,,,
East Arkansas Community College,25/08/2014,08/12/2014,12/01/2015,27/04/2015,,
East Carolina University,26/08/2014,18/12/2014,12/01/2015,07/05/2015,,
